fine_dust,O3,region,heavy_metal,traffic,num_of_factories,num_of_power_plants,num_of_people,household_waste_discharge_per_person (kg/days),wind_speed,wind_direction,rainfall(mm),C,avg_O3,avg_fine_dust
0,1,전라북도무주군,0.3531,38.4,63 ,0,24036 ,1.6,4.711667,-71.0683,53.51667,11.6,0.031,36.5
1,1,전라북도부안군,0.3531,37.5,262 ,0,52140 ,1.2,4.711667,-71.0683,47.18333,14,0.037,49.4
1,1,전라북도순창군,0.3531,36.8,137 ,0,27810 ,0.7,4.711667,-71.0683,51.56667,13.6,0.033,46
1,1,전라북도완주군,0.3531,43.6,667 ,0,91609 ,1.2,4.711667,-71.0683,61.18333,14.6,0.031,45
1,1,전라북도익산시,0.3531,38.2,1643 ,0,282276 ,1,4.711667,-71.0683,39.63333,13.9,0.033,48
1,0,전라북도임실군,0.3531,40.8,117 ,0,27314 ,0.6,4.711667,-71.0683,51.03333,12.5,0.014,46.33333333
0,1,전라북도장수군,0.3531,37.3,99 ,0,22085 ,1.3,4.711667,-71.0683,53.51667,11.6,0.036,34.66666667
1,1,전라북도전주시,0.3531,37.6,623 ,0,657432 ,0.9,4.711667,-71.0683,40.1,14.6,0.03,48.33333333
0,1,전라북도정읍시,0.3531,39.3,532 ,0,108508 ,1.1,4.711667,-71.0683,50.85,13.8,0.034,42.33333333
0,1,전라북도진안군,0.3531,39.3,133 ,0,25394 ,3.3,4.711667,-71.0683,61.18333,14.6,0.03,37.66666667
0,1,제주특별자치도서귀포시,0.6,32.9,172 ,1,182169 ,2,8.931667,30.51865,86.45,17.5,0.044,35.66666667
0,1,제주특별자치도제주시,0.6,45.3,546 ,2,492466 ,1.9,8.931667,30.51865,61.16667,17.5,0.037,40.33333333
0,0,충청남도계룡시,0.4871,40.3,75 ,0,42822 ,0.9,3.38,-82.6393,38.9,13.3,0.025,40.6
1,0,충청남도공주시,0.4871,40.4,608 ,0,104545 ,0.9,3.38,-82.6393,38.9,12.5,0.027,44.66666667
1,0,충청남도금산군,0.8213,42.2,867 ,0,51413 ,1.3,3.38,-82.6393,36.71667,12.9,0.025,46
1,0,충청남도논산시,0.5912,40.9,825 ,0,116675 ,1.6,3.38,-82.6393,38.9,13.3,0.023,48.6
1,0,충청남도당진시,1.3114,41.5,966 ,11,166249 ,1.3,3.38,-82.6393,56.66667,13.2,0.029,62.16666667
1,0,충청남도보령시,0.5912,37.5,448 ,8,100229 ,1.1,3.38,-82.6393,35.88333,13.8,0.027,53.5
1,0,충청남도부여군,0.5912,41,173 ,0,65354 ,1.4,3.38,-82.6393,38.9,13.3,0.028,51.5
1,1,충청남도서산시,0.8213,39.9,449 ,0,175591 ,1.2,3.38,-82.6393,56.66667,13.2,0.037,48.5
1,0,충청남도서천군,0.8213,38,233 ,1,51866 ,1.8,3.38,-82.6393,35.88333,13.3,0.028,48.33333333
1,0,충청남도아산시,1.0305,39.1,2212 ,0,316129 ,2,3.38,-82.6393,34.73333,12.5,0.026,56.5
1,0,충청남도연기군,0.5912,0,28 ,1,0 ,0,3.38,-82.6393,34.73333,12.5,0.027,61.5
